Date,Filings,News,Press Releases,Transcripts,Research,Investor Slides,Sector Focus News,ESG
01-Jan'96,4,0,0,0,0,0,0,0
01-Jan'97,58,0,0,0,0,0,0,0
01-Jan'98,85,0,0,0,0,0,0,0
01-Jan'99,76,0,0,0,0,0,0,0
01-Jan'00,39,0,0,0,0,0,0,0
01-Jan'01,69,0,0,0,0,0,0,0
01-Jan'02,78,8,0,0,0,0,0,0
01-Jan'03,98,6,0,5,0,0,0,0
01-Jan'04,153,10,0,5,0,0,0,0
01-Jan'05,126,45,0,1,0,0,0,0
01-Jan'06,186,76,1,6,0,0,0,0
01-Jan'07,215,18,0,3,0,0,0,0
01-Jan'08,229,28,1,4,0,0,0,0
01-Jan'09,199,7,0,3,8,0,0,0
01-Jan'10,230,3,9,1,0,6,0,0
01-Jan'11,185,8,13,6,4,14,0,0
01-Jan'12,253,7,12,9,20,12,0,0
01-Jan'13,287,0,3,5,15,3,0,0
01-Jan'14,250,1,3,4,157,13,0,0
01-Jan'15,272,11,4,3,604,8,0,0
01-Jan'16,242,19,16,2,649,12,0,30
01-Jan'17,266,17,5,5,592,7,0,20
01-Jan'18,246,17,2,3,574,3,0,37
01-Jan'19,246,82,0,3,668,0,0,62
01-Jan'20,272,20,15,0,577,7,0,45
01-Jan'21,248,35,9,3,333,8,0,58
01-Jan'22,256,172,3,2,596,10,3,154
01-Jan'23,222,275,56,3,913,4,5,114
